sparkasse,state,bemessung_2014,gesamtbezuege_2014,durchschnitt_val,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,mitarbeiter_val,anzahl_vorstaende_2014
Sparkasse Hennstedt-Wesselburen,Schleswig-Holstein,0.164959873,380 T. €,126.66666666666667,"126,7 T. €","671,5 Mio. €",173,173.0,3
Sparkasse Altenburger Land,Thüringen,0.2584887428,384 T. €,192.0,192 T. €,"981,7 Mio. €",239,239.0,2
Sparkasse Finnentrop,Nordrhein-Westfalen,0.076601953,396 T. €,198.0,198 T. €,"296,5 Mio. €",94,94.0,2
Stadtsparkasse Freudenberg,Nordrhein-Westfalen,0.0843755068,398 T. €,199.0,199 T. €,"285,3 Mio. €",91,91.0,2
Sparkasse Salem-Heiligenberg,Baden-Württemberg,0.219146389,399 T. €,199.5,"199,5 T. €","825,2 Mio. €",139,139.0,2
Stadtsparkasse Porta Westfalica,Nordrhein-Westfalen,0.1166310689,399 T. €,199.5,"199,5 T. €","449,3 Mio. €",108,108.0,2
Stadtsparkasse Versmold,Nordrhein-Westfalen,0.0834645362,400 T. €,200.0,200 T. €,"301,6 Mio. €",79,79.0,2
Kreissparkasse Gelnhausen,Hessen,0.318724873,401 T. €,190.95238095238093,191 T. €,"1,1 Mrd. €",320,320.0,"2,1"
Sparkasse Ennepetal-Breckerfeld,Nordrhein-Westfalen,0.197475103,"404,2 T. €",202.1,"202,1 T. €","704,5 Mio. €",145,145.0,2
Sparkasse Stockach,Baden-Württemberg,0.145794314,406 T. €,203.0,203 T. €,587 Mio. €,113,113.0,2
Stadtsparkasse Hilchenbach,Nordrhein-Westfalen,0.0806856927,"411,5 T. €",205.75,"205,8 T. €","311,5 Mio. €",83,83.0,2
Sparkasse der Stadt Straelen,Nordrhein-Westfalen,0.0792001304,"411,7 T. €",205.829,"205,8 T. €","314,2 Mio. €",92,92.0,2
Sparkasse Grünberg,Hessen,0.0949588417,413 T. €,206.5,"206,5 T. €","317,2 Mio. €",88,88.0,2
Kreissparkasse Eichsfeld,Thüringen,0.3256310599,414 T. €,207.0,207 T. €,"1,2 Mrd. €",282,282.0,2
Sparkasse Arnstadt-Ilmenau,Thüringen,0.311902626,418 T. €,209.0,209 T. €,"1,1 Mrd. €",285,285.0,2
Sparkasse Erwitte-Anröchte,Nordrhein-Westfalen,0.0897904694,418 T. €,209.0,209 T. €,"331,6 Mio. €",113,113.0,2
Kreissparkasse Limburg,Hessen,0.391695995,422 T. €,211.0,211 T. €,"1,4 Mrd. €",417,417.0,2
Sparkasse Freyung-Grafenau,Bayern,0.1888051022,422 T. €,211.0,211 T. €,"702,7 Mio. €",225,225.0,2
Sparkasse Pfullendorf-Messkirch,Baden-Württemberg,0.186288189,424 T. €,212.0,212 T. €,"709,2 Mio. €",152,152.0,2
Sparkasse Bad Neustadt a.d. Saale,Bayern,0.33834206304000003,426 T. €,213.0,213 T. €,"1,2 Mrd. €",318,318.0,2
Sparkasse Rietberg,Nordrhein-Westfalen,0.1111925234,431 T. €,215.5,"215,5 T. €","407,2 Mio. €",110,110.0,2
Stadtsparkasse Herdecke,Nordrhein-Westfalen,0.1115362598,434 T. €,217.0,217 T. €,"390,7 Mio. €",100,100.0,2
Sparkasse Neunkirchen,Saarland,0.441237974,"434,2 T. €",217.089,"217,1 T. €","1,4 Mrd. €",401,401.0,2
Kreissparkasse Höchstadt/Aisch,Bayern,0.2256961004,436 T. €,218.0,218 T. €,"795,2 Mio. €",242,242.0,2
Stadtsparkasse Rahden,Nordrhein-Westfalen,0.1141658502,436 T. €,218.0,218 T. €,"439,1 Mio. €",92,92.0,2
