sparkasse,plz,state,bemessung_2014,gesamtbezuege_2014,durchschnitt_val,durchschnittsgehalt_2014,bilanzsumme_2014,mitarbeiter_2014,mitarbeiter_val,anzahl_vorstaende_2014
Sparkasse Kulmbach-Kronach,"95364,95352,95355,96369,96277,96346,96367,95346,96358,95509,96332,96361,96364,96268,95502,95349,96365,95358,95499,95336,95365,96328,96342,95512,96352,95367,95339,96337,95361,95369,95359,96355,96349,95356,96197,96317,95362,95326",Bayern,0.612039248,636 T. €,318.0,318 T. €,"2,3 Mrd. €",614,614.0,2
Sparkasse Gelsenkirchen,"45897,45884,45899,45879,45896,45888,45881,45886,45892,45889,45891,45883,45894",Nordrhein-Westfalen,0.9149445392,637 T. €,318.5,"318,5 T. €","3,1 Mrd. €",820,820.0,2
Sparkasse Höxter,"34434,34439,33039,33014,37696,32839,37688,37671,33034,34414",Nordrhein-Westfalen,0.381144443,637 T. €,318.5,"318,5 T. €","1,4 Mrd. €",390,390.0,2
Sparkasse Bayreuth,"95447,95448,95488,95515,95466,95497,95686,95460,95494,91257,95500,91282,95490,95496,95503,95445,91344,95473,95694,91347,91278,95444,95511,95485,95493,95517,91289,91287,96142,95463,95491",Bayern,0.5663765362,645 T. €,322.5,"322,5 T. €","2,2 Mrd. €",569,569.0,2
Kreissparkasse Euskirchen,"53947,53894,53881,53949,53879,53937,53945,53902,53909,53940,53919,53925",Nordrhein-Westfalen,0.4982557277,"658,8 T. €",329.4215,"329,4 T. €","1,8 Mrd. €",478,478.0,2
Stadtsparkasse Bottrop,"46240,46242,46238,46244,46236",Nordrhein-Westfalen,0.32944165,667 T. €,333.5,"333,5 T. €","1,2 Mrd. €",309,309.0,2
Sparkasse Lippstadt,"59558,59555,59602,59581,59557,59556",Nordrhein-Westfalen,0.37206718,669 T. €,334.5,"334,5 T. €","1,4 Mrd. €",277,277.0,2
Sparkasse Gummersbach-Bergneustadt,"51647,51643,51702,51645",Nordrhein-Westfalen,0.341178687,"669,5 T. €",334.75,"334,8 T. €","1,2 Mrd. €",281,281.0,2
Kreissparkasse Freudenstadt,"72275,72296,72178,72280,72285,72186,72293,72184,72270,72299,72160,72297,72290,72294",Baden-Württemberg,0.4581339222,671 T. €,223.66666666666666,"223,7 T. €","1,7 Mrd. €",412,412.0,3
Stadt-Sparkasse Langenfeld,40764,Nordrhein-Westfalen,0.370756588,"679,7 T. €",339.85,"339,9 T. €","1,3 Mrd. €",254,254.0,2
Sparkasse Witten,"58454,58453,58455,58456,58452",Nordrhein-Westfalen,0.522611799,681 T. €,340.5,"340,5 T. €",2 Mrd. €,463,463.0,2
Sparkasse Zollernalb,"72359,72362,72401,72475,72355,72367,72414,72459,72461,72469,72393,72474,72361,72364,72406,72479,72458,72336,72356,72379,72365,72351,72358,72369,72415,72417,72348",Baden-Württemberg,0.9016381607,682 T. €,341.0,341 T. €,"3,2 Mrd. €",804,804.0,2
Sparkasse Gießen,"35440,35392,35423,35415,35460,35396,35452,35463,35390,35394,35457,35418,35398,35447,35469",Hessen,0.5913571,686 T. €,274.4,"274,4 T. €","2,1 Mrd. €",628,628.0,"2,5"
Sparkasse Aichach-Schrobenhausen,"86447,86570,86508,86571,86568,86561,86565,86444,86564,86574,86551,86674,86576,86577,86579,86562,86573,86556,85302,86554,86529,86559,86558",Bayern,0.3723524117,686 T. €,228.66666666666666,"228,7 T. €","1,2 Mrd. €",377,377.0,3
Sparkasse Rotenburg-Bremervörde,"27356,27404,27419,27367,27374,27412,27442,27432,27446",Niedersachsen,0.5208118764,690 T. €,345.0,345 T. €,"1,8 Mrd. €",471,471.0,2
Sparkasse Jena-Saale-Holzland,"07639,07616,07778,07749,07745,07774,07607,07619,07751,07629,07743,07646,07768,07747,07613",Thüringen,0.4695843545,694 T. €,231.33333333333334,"231,3 T. €","1,9 Mrd. €",479,479.0,3
Kreissparkasse Schwalm-Eder,"34212,34626,34323,34633,36280,34576,34587,34326,34560,34286,34593,34621,34630,34302,34599,34637,34281,34639,34327,34596,34590,34628,34295,34632,34305",Hessen,0.5148869898,699 T. €,349.5,"349,5 T. €",2 Mrd. €,445,445.0,2
Sparkasse im Landkreis Schwandorf,"92442,92533,92421,93149,92539,92551,92552,92536,93142,92439,92449,92521,92445,92526,93158,92436,92447,92546,92559,93133,92540,92507,92431",Bayern,0.5270469335,701 T. €,300.85836909871244,"300,9 T. €","1,9 Mrd. €",534,534.0,"2,33"
Sparkasse Dieburg,"64401,64354,64853,64832,64839,64846,64405,64859,64807,64823,64850,63322",Hessen,0.736059601,"704,6 T. €",352.3,"352,3 T. €","2,2 Mrd. €",524,524.0,2
Sparkasse zu Lübeck AG,"23554,23562,23570,23558,23552,23569,23556,23566,23568,23560,23564",Schleswig-Holstein,0.700964196,707 T. €,353.5,"353,5 T. €","2,4 Mrd. €",493,493.0,2
